id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG43136,Mou-Setsé: A Negro Hero; The Orphans' Pilgimage: A Story of Trust in God,"Meade, L. T.",1854,1914,['en'],4,"{'Orphans -- Juvenile fiction', 'Faith -- Juvenile fiction', 'African Americans -- Juvenile fiction', 'Slave trade -- Africa -- Juvenile fiction'}",Text
PG43137,The Girl and Her Fortune,"Meade, L. T.",1854,1914,['en'],12,"{'Young women -- Fiction', 'England -- Social life and customs -- Fiction', 'Sisters -- Fiction', 'Orphans -- Fiction'}",Text
PG43138,Three Girls from School,"Meade, L. T.",1854,1914,['en'],8,"{'Boarding schools -- England -- Juvenile fiction', 'Girls -- Conduct of life -- Juvenile fiction'}",Text
PG43139,A Sweet Girl Graduate,"Meade, L. T.",1854,1914,['en'],21,"{'Aunts -- Juvenile fiction', 'Students -- Juvenile fiction', 'Young women -- Conduct of life -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Social status -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Sisters -- Juvenile fiction', 'Courtship -- Juvenile fiction', 'College students -- Juvenile fiction'}",Text
PG43140,The Little School-Mothers,"Meade, L. T.",1854,1914,['en'],12,"{'England -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Boarding schools -- Juvenile fiction'}",Text
PG43141,Jill: A Flower Girl,"Meade, L. T.",1854,1914,['en'],12,"{'London (England) -- Social conditions -- 19th century -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Working class -- Juvenile fiction', 'Children of alcoholics -- Juvenile fiction'}",Text
PG43142,A London Baby: The Story of King Roy,"Meade, L. T.",1854,1914,['en'],5,"{'London (England) -- Social conditions -- 19th century -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Boys -- Juvenile fiction'}",Text
PG43143,A Ring of Rubies,"Meade, L. T.",1854,1914,['en'],10,"{'Inheritance and succession -- Juvenile fiction', 'Family -- Juvenile fiction'}",Text
PG43144,Scamp and I: A Story of City By-Ways,"Meade, L. T.",1854,1914,['en'],11,"{'Theft -- Juvenile fiction', 'Reformatories -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Animal welfare -- Juvenile fiction', 'Dogs -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Poverty -- Juvenile fiction', 'Charity -- Juvenile fiction', 'Children -- Death -- Juvenile fiction', 'Christian life -- Juvenile fiction'}",Text
PG43145,The Squire's Little Girl,"Meade, L. T.",1854,1914,['en'],15,"{'Friendship -- Juvenile fiction', 'Governesses -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Country life -- England -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Only child -- Juvenile fiction'}",Text
PG43146,Turquoise and Ruby,"Meade, L. T.",1854,1914,['en'],7,"{'Boarding schools -- England -- Juvenile fiction', 'Girls -- Social life and customs -- Juvenile fiction'}",Text
PG43147,A World of Girls: The Story of a School,"Meade, L. T.",1854,1914,['en'],12,"{'Students -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Boarding schools -- England -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Teachers -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'School principals -- Juvenile fiction', 'Pride and vanity -- Juvenile fiction'}",Text
PG43148,An English Squire,"Coleridge, Christabel R. (Christabel Rose)",1843,1921,['en'],5,"{'Inheritance and succession -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Families -- Fiction'}",Text
PG43149,Waynflete,"Coleridge, Christabel R. (Christabel Rose)",1843,1921,['en'],10,{'England -- Social life and customs -- 19th century -- Fiction'},Text
PG43150,The Constant Prince,"Coleridge, Christabel R. (Christabel Rose)",1843,1921,['en'],1,"{""Children's stories"", 'Princes -- Juvenile fiction'}",Text
PG43151,Cartouche,"Peard, Frances Mary",1835,1923,['en'],5,"{'British -- Italy -- Fiction', 'Young women -- Fiction', 'Dogs -- Fiction'}",Text
PG43152,The Career of Claudia,"Peard, Frances Mary",1835,1923,['en'],5,"{'England -- Social life and customs -- 19th century -- Fiction', 'Young women -- Fiction', 'Man-woman relationships -- Fiction', 'Feminists -- Fiction'}",Text
PG43153,Donna Teresa,"Peard, Frances Mary",1835,1923,['en'],4,"{'British -- Italy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Man-woman relationships -- Fiction', 'Sisters -- Fiction'}",Text
PG43154,An Interloper,"Peard, Frances Mary",1835,1923,['en'],2,"{'France -- Social life and customs -- 19th century -- Fiction', 'Families -- Fiction', 'Husband and wife -- Fiction'}",Text
PG43155,Thorpe Regis,"Peard, Frances Mary",1835,1923,['en'],3,"{'England -- Social life and customs -- 19th century -- Fiction', 'Villages -- England -- Fiction'}",Text
PG43156,Unawares: A Story of an Old French Town,"Peard, Frances Mary",1835,1923,['en'],2,{'France -- Fiction'},Text
PG43157,The Swing of the Pendulum,"Peard, Frances Mary",1835,1923,['en'],6,"{'Man-woman relationships -- Fiction', 'British -- Norway -- Fiction'}",Text
PG43158,"Kingsworth; or, The Aim of a Life","Coleridge, Christabel R. (Christabel Rose)",1843,1921,['en'],2,"{'Inheritance and succession -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Cousins -- Fiction'}",Text
PG43159,Two Studios,"Peard, Frances Mary",1835,1923,['en'],3,"{'England -- Social life and customs -- 19th century -- Fiction', 'Man-woman relationships -- Fiction', 'Love stories', 'Painters -- Fiction'}",Text
PG43160,An Artist's Letters from Japan,"La Farge, John",1835,1910,['en'],27,"{'Art, Japanese', 'Japan -- Description and travel'}",Text
PG43161,Jeri: Erään koiran seikkailuja Etelämerellä,"London, Jack",1876,1916,['fi'],2,"{'Dogs -- Fiction', 'Solomon Islands -- Fiction'}",Text
PG43162,Hugh Crichton's Romance,"Coleridge, Christabel R. (Christabel Rose)",1843,1921,['en'],5,{'Fiction'},Text
PG43163,Die schwarzen Brüder: Eine abentheuerliche Geschichte. 1/3,"Zschokke, Heinrich",1771,1848,['de'],20,{'Fiction'},Text
PG43164,Die schwarzen Brüder: Eine abentheuerliche Geschichte. 2/3,"Zschokke, Heinrich",1771,1848,['de'],13,{'Fiction'},Text
PG43165,Die schwarzen Brüder: Eine abentheuerliche Geschichte. 3/3,"Zschokke, Heinrich",1771,1848,['de'],11,{'Fiction'},Text
PG43166,Shaving Made Easy: What the Man Who Shaves Ought to Know,Anonymous,,,['en'],42,{'Shaving'},Text
PG43167,"How to Know the Ferns: A Guide to the Names, Haunts and Habitats of Our Common Ferns","Parsons, Frances Theodora",1861,1952,['en'],22,{'Ferns -- United States -- Identification'},Text
PG43168,Hathercourt,"Molesworth, Mrs.",1839,1921,['en'],2,"{'Domestic fiction', 'Sisters -- Fiction', 'Courtship -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Children of clergy -- Fiction'}",Text
